"term_id","term_name","pval","NES","size","neg_log10_p"
"GO:0002376","immune system process",2.26820598329984e-13,2.26334337139449,36,12.6443175082675
"GO:0019882","antigen processing and presentation",3.94388122442675e-09,1.94426602673469,10,8.40407617292778
"GO:0006955","immune response",4.24836325567726e-09,2.10035972210661,19,8.37177835605292
"GO:0007165","signal transduction",1.00969759044595e-08,2.15671342752054,26,7.99580868014444
"GO:0009617","response to bacterium",5.89061224078385e-08,1.97866754518651,12,7.22983956446998
"GO:0006954","inflammatory response",7.56398878635872e-08,2.08945051613753,22,7.12124912366969
"GO:0045087","innate immune response",9.40073894152684e-08,2.07431585585221,21,7.02683800750515
"GO:0045944","positive regulation of transcription by RNA polymerase II",6.56139889384932e-07,2.0007824487329,15,6.18300355893046
"GO:0008284","positive regulation of cell population proliferation",1.02851874929836e-06,2.00883427328518,16,5.98778778696138
"GO:0050778","positive regulation of immune response",3.18698419838348e-06,1.77351766047313,5,5.49662008982776
"GO:0050870","positive regulation of T cell activation",3.18698419838348e-06,1.77351766047313,5,5.49662008982776
"GO:0030593","neutrophil chemotaxis",4.22965174693614e-06,1.77880408568203,6,5.3736953892704
"GO:0071222","cellular response to lipopolysaccharide",5.73573710854297e-06,1.91615325541527,11,5.24141076231333
"GO:0019221","cytokine-mediated signaling pathway",6.57139597630522e-06,1.91434921065563,11,5.18234236249401
"GO:0032722","positive regulation of chemokine production",7.9974972115164e-06,1.77507786607338,6,5.09704590266908
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",8.58989907509572e-06,1.77437919989675,6,5.06601193877487
"GO:0045893","positive regulation of DNA-templated transcription",1.05338555284183e-05,1.87569473808046,9,4.97741264227633
"GO:0030335","positive regulation of cell migration",1.45075577885141e-05,1.95844318743104,14,4.83840569081804
"GO:0045766","positive regulation of angiogenesis",2.05452962017433e-05,1.76692676067944,6,4.68728759312903
"GO:0006952","defense response",2.65189969721397e-05,1.86740948949324,9,4.57644290627416
"GO:0032760","positive regulation of tumor necrosis factor production",3.86746231699858e-05,1.89063890810039,11,4.4125739091992
"GO:0050830","defense response to Gram-positive bacterium",3.86746231699858e-05,1.89065105443413,11,4.4125739091992
"GO:0002503","peptide antigen assembly with MHC class II protein complex",3.89082876361982e-05,1.66533307628922,4,4.40995788218815
"GO:0008285","negative regulation of cell population proliferation",5.32054356317728e-05,1.88619417071249,10,4.2740439965716
"GO:0038094","Fc-gamma receptor signaling pathway",6.1521201978495e-05,1.66316805668926,4,4.21097518803874
"GO:0007186","G protein-coupled receptor signaling pathway",6.43110608772795e-05,1.93190969223864,13,4.19171432622273
"GO:0032755","positive regulation of interleukin-6 production",7.21410475648654e-05,1.84059609963122,8,4.14181755555332
"GO:0006508","proteolysis",7.50757395043126e-05,1.88007236022251,11,4.12450038125938
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction",7.97033790321569e-05,1.75841555350992,5,4.09852326625869
"GO:0030154","cell differentiation",9.4560706478279e-05,1.87607768968331,11,4.02428929176663
"GO:0043066","negative regulation of apoptotic process",0.000100173545783847,1.87912870936613,10,3.99924695348857
"GO:0001916","positive regulation of T cell mediated cytotoxicity",0.000119384771552438,1.75004232807772,6,3.92305106728149
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",0.000119384771552438,1.75004232807772,6,3.92305106728149
"GO:0007166","cell surface receptor signaling pathway",0.000139665087199871,1.74806277391062,6,3.85491214314424
"GO:0050776","regulation of immune response",0.00015224720118265,1.74689833028292,6,3.8174506824199
"GO:0001525","angiogenesis",0.000159796481371556,1.74596677538075,6,3.79643278783643
"GO:0006935","chemotaxis",0.000193730049811598,1.83761973805532,9,3.71280300986857
"GO:0007015","actin filament organization",0.000205380142468627,1.65656474690938,4,3.68744154921586
"GO:0007264","small GTPase-mediated signal transduction",0.000205380142468627,1.65656474690938,4,3.68744154921586
"GO:0006357","regulation of transcription by RNA polymerase II",0.000226780197974066,1.81786497250967,8,3.64439486991161
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",0.000232402847510613,1.80830963075304,7,3.63375855506583
"GO:0016192","vesicle-mediated transport",0.000238715997867438,1.75069157513943,5,3.62211847520046
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I",0.000292762551847436,1.65245120966946,4,3.53348447599524
"GO:0050766","positive regulation of phagocytosis",0.000292762551847436,1.65201820574946,4,3.53348447599524
"GO:0140367","antibacterial innate immune response",0.000323310954156572,1.65093569594948,4,3.49037958072974
"GO:0006911","phagocytosis, engulfment",0.000384407924962931,1.6501779390895,4,3.41520766748582
"GO:2000406","positive regulation of T cell migration",0.00039968219302604,1.64952843320951,4,3.39828520035836
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0.000414528996698656,1.80386424037407,8,3.38244508473793
"GO:0048002","antigen processing and presentation of peptide antigen",0.000416758790168393,1.44109229801616,2,3.3801152313767
"GO:0001516","prostaglandin biosynthetic process",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0002286","T cell activation involved in immune response",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0002606","positive regulation of dendritic cell antigen processing and presentation",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0002821","positive regulation of adaptive immune response",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0002830","positive regulation of type 2 immune response",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0002906","negative regulation of mature B cell apoptotic process",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0006457","protein folding",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0030336","negative regulation of cell migration",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0030890","positive regulation of B cell proliferation",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0045059","positive thymic T cell selection",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0045060","negative thymic T cell selection",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0045581","negative regulation of T cell differentiation",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0045657","positive regulation of monocyte differentiation",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0046598","positive regulation of viral entry into host cell",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0048146","positive regulation of fibroblast proliferation",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production",0.000433236268555689,1.34386340623657,1,3.36327519338034
"GO:0035556","intracellular signal transduction",0.00047923578147781,1.79977167697949,8,3.31945076341042
"GO:0010628","positive regulation of gene expression",0.000488819241450625,1.85044200687036,10,3.31085170724308
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.000493477840112261,1.72732724542014,6,3.3067323447837
"GO:0032496","response to lipopolysaccharide",0.000500166121382759,1.82071143212311,9,3.30088572842881
"GO:0050729","positive regulation of inflammatory response",0.000500166121382759,1.82071143212311,9,3.30088572842881
"GO:0000122","negative regulation of transcription by RNA polymerase II",0.000561388184988172,1.7939522176232,8,3.25073673179498
"GO:0007155","cell adhesion",0.000571817770008029,1.72395879081713,6,3.24274235248185
"GO:0006915","apoptotic process",0.000680401935136936,1.81344712290779,9,3.16723445987708
"GO:0016525","negative regulation of angiogenesis",0.000687019943456909,1.73893268269479,5,3.16303065565141
"GO:0006811","monoatomic ion transport",0.000687369696202344,1.64335812734962,4,3.1628096183469
"GO:0010977","negative regulation of neuron projection development",0.000747576234689335,1.64238386852964,4,3.12634451321527
"GO:0042127","regulation of cell population proliferation",0.00075753239432402,1.71941746066908,6,3.12059879071298
"GO:0042742","defense response to bacterium",0.000784794796851823,1.83978740367291,10,3.10524388496811
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",0.000797475011479287,1.56352226999371,3,3.09828291647979
"GO:0042554","superoxide anion generation",0.000828344591624309,1.56321737095509,3,3.08178895897777
"GO:0010759","positive regulation of macrophage chemotaxis",0.00095182304591811,1.56270920589074,3,3.02144378409925
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",0.00103208651708681,1.73259210343543,5,2.98628389542345
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0.00103208651708681,1.73259210343543,5,2.98628389542345
"GO:0032729","positive regulation of type II interferon production",0.00103208651708681,1.73259210343543,5,2.98628389542345
"GO:0001788","antibody-dependent cellular cytotoxicity",0.00106471159568075,1.5614896097363,3,2.97276801604382
"GO:0042110","T cell activation",0.00109661306671238,1.43895030998111,2,2.95994658357813
"GO:0042130","negative regulation of T cell proliferation",0.00109661306671238,1.43895030998111,2,2.95994658357813
"GO:0050829","defense response to Gram-negative bacterium",0.00125932912467145,1.72947945543538,5,2.89986075253804
"GO:0016477","cell migration",0.00135401380325801,1.72855718936129,5,2.86837690828881
"GO:0070098","chemokine-mediated signaling pathway",0.00139425579687372,1.63350728816981,4,2.85565754117383
"GO:0002250","adaptive immune response",0.00146569437861565,1.78559770768984,7,2.83395657779719
"GO:0043408","regulation of MAPK cascade",0.00159198403755442,1.5584406193502,3,2.79806129114407
"GO:0050918","positive chemotaxis",0.0017023461823206,1.4375533612626,2,2.76895211887908
"GO:0043547","positive regulation of GTPase activity",0.00171381641791122,1.72417642550937,5,2.76603570105822
"GO:0010467","gene expression",0.0018012082279867,1.69845747537039,6,2.7444360778311
"GO:0055085","transmembrane transport",0.00182743848574292,1.7234847259538,5,2.73815723311267
"GO:0050821","protein stabilization",0.00186944564541682,1.43699458177519,2,2.72828715754304
"GO:1902564","negative regulation of neutrophil activation",0.00186944564541682,1.43699458177519,2,2.72828715754304
"GO:0034341","response to type II interferon",0.00203408853498542,1.72106377750932,5,2.69163014806085
"GO:0001771","immunological synapse formation",0.00206746577706287,1.34308355127132,1,2.68456167062947
"GO:0035023","regulation of Rho protein signal transduction",0.00206746577706287,1.34308355127132,1,2.68456167062947
"GO:0036336","dendritic cell migration",0.00206746577706287,1.34308355127132,1,2.68456167062947
"GO:0070233","negative regulation of T cell apoptotic process",0.00206746577706287,1.34308355127132,1,2.68456167062947
"GO:0045582","positive regulation of T cell differentiation",0.00209838769714117,1.55528999595123,3,2.67811426868122
"GO:0045429","positive regulation of nitric oxide biosynthetic process",0.00212425203387662,1.62690397838993,4,2.67279395725709
"GO:0006968","cellular defense response",0.0022435920357798,1.43643580228779,2,2.64905611030231
"GO:0045730","respiratory burst",0.0022435920357798,1.43643580228779,2,2.64905611030231
"GO:0050665","hydrogen peroxide biosynthetic process",0.0022435920357798,1.43643580228779,2,2.64905611030231
"GO:0030217","T cell differentiation",0.00239708452626744,1.62398120192998,4,2.62031665155488
"GO:0042981","regulation of apoptotic process",0.00239708452626744,1.62354819800999,4,2.62031665155488
"GO:0050853","B cell receptor signaling pathway",0.00239708452626744,1.62398120192998,4,2.62031665155488
"GO:0071345","cellular response to cytokine stimulus",0.00239708452626744,1.62398120192998,4,2.62031665155488
"GO:0097398","cellular response to interleukin-17",0.00239708452626744,1.62398120192998,4,2.62031665155488
"GO:0030198","extracellular matrix organization",0.00240825487969281,1.43550450314211,2,2.61829755105778
"GO:0016064","immunoglobulin mediated immune response",0.00244888309309929,1.68960770379983,6,2.6110319471063
"GO:0043065","positive regulation of apoptotic process",0.00244888309309929,1.68960770379983,6,2.6110319471063
"GO:0050728","negative regulation of inflammatory response",0.00244888309309929,1.68960770379983,6,2.6110319471063
"GO:0098586","cellular response to virus",0.0024581012232997,1.55386713377104,3,2.60940023706578
"GO:0006897","endocytosis",0.00263123729016991,1.71426206521291,5,2.57983998461499
"GO:0071346","cellular response to type II interferon",0.00263123729016991,1.71426206521291,5,2.57983998461499
"GO:0048839","inner ear development",0.00266991771168152,1.62116667645003,4,2.5735021236217
"GO:0071356","cellular response to tumor necrosis factor",0.00266991771168152,1.62116667645003,4,2.5735021236217
"GO:0090023","positive regulation of neutrophil chemotaxis",0.00269791092828277,1.55254590460373,3,2.56897239269
"GO:0090026","positive regulation of monocyte chemotaxis",0.00292981265747667,1.71149526699065,5,2.53316014907433
"GO:0010976","positive regulation of neuron projection development",0.00309759459798064,1.55102140941068,3,2.50897542175459
"GO:0032757","positive regulation of interleukin-8 production",0.00328834947291538,1.77264709603889,7,2.48302203356098
"GO:0032680","regulation of tumor necrosis factor production",0.00333740516574573,1.55020834530772,3,2.47659106617523
"GO:0019731","antibacterial humoral response",0.00337737361502238,1.55000507928198,3,2.47142089377162
"GO:0045892","negative regulation of DNA-templated transcription",0.00341046710526567,1.61607888039013,4,2.46718613498212
"GO:0001934","positive regulation of protein phosphorylation",0.00357721594051154,1.54929364819189,3,2.44645484264613
"GO:0006958","complement activation, classical pathway",0.00357721594051154,1.5485822171018,3,2.44645484264613
"GO:0031640","killing of cells of another organism",0.00357721594051154,1.54868385011467,3,2.44645484264613
"GO:0098883","synapse pruning",0.00357721594051154,1.5485822171018,3,2.44645484264613
"GO:0032715","negative regulation of interleukin-6 production",0.0037667305195089,1.43345564502163,2,2.42403544910297
"GO:0038095","Fc-epsilon receptor signaling pathway",0.00384906261633514,1.4332693851925,2,2.41464502376963
"GO:1905146","lysosomal protein catabolic process",0.00395613631262354,1.61142408825021,4,2.4027287527674
"GO:0002244","hematopoietic progenitor cell differentiation",0.00409605900352368,1.43252434587596,2,2.38763379599702
"GO:0006886","intracellular protein transport",0.00413560906575654,1.54675282287014,3,2.38346052131862
"GO:0060907","positive regulation of macrophage cytokine production",0.00413560906575654,1.54675282287014,3,2.38346052131862
"GO:0006898","receptor-mediated endocytosis",0.00418658381443078,1.60969207257025,4,2.3781402098945
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus",0.00425952244600393,1.43196556638855,2,2.37063908885293
"GO:0002690","positive regulation of leukocyte chemotaxis",0.00438638670849498,1.34152384134081,1,2.35789308310945
"GO:0042118","endothelial cell activation",0.00438638670849498,1.34152384134081,1,2.35789308310945
"GO:0045662","negative regulation of myoblast differentiation",0.00438638670849498,1.34152384134081,1,2.35789308310945
"GO:1901740","negative regulation of myoblast fusion",0.00438638670849498,1.34152384134081,1,2.35789308310945
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",0.00441703167310886,1.60817655885027,4,2.35486948654485
"GO:0043124","negative regulation of canonical NF-kappaB signal transduction",0.00445069390148495,1.54532996068996,3,2.35157227349265
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",0.00447544964067157,1.34143719078911,1,2.3491633253419
"GO:0031295","T cell costimulation",0.00447544964067157,1.34143719078911,1,2.3491633253419
"GO:0043524","negative regulation of neuron apoptotic process",0.00472429594956276,1.60709404905029,4,2.32566290419228
"GO:0001798","positive regulation of type IIa hypersensitivity",0.00482744261289162,1.43084800741374,2,2.31628288027309
"GO:0001503","ossification",0.00492332221702139,1.54217933729098,3,2.30774173999506
"GO:0032743","positive regulation of interleukin-2 production",0.00492332221702139,1.54217933729098,3,2.30774173999506
"GO:0002502","peptide antigen assembly with MHC class I protein complex",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0002726","positive regulation of T cell cytokine production",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0003254","regulation of membrane depolarization",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0007608","sensory perception of smell",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0007611","learning or memory",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0010038","response to metal ion",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0033077","T cell differentiation in thymus",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0033572","transferrin transport",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0042026","protein refolding",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0045646","regulation of erythrocyte differentiation",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0048260","positive regulation of receptor-mediated endocytosis",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0048261","negative regulation of receptor-mediated endocytosis",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0050680","negative regulation of epithelial cell proliferation",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0071281","cellular response to iron ion",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0071316","cellular response to nicotine",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:2000774","positive regulation of cellular senescence",0.00520872069378157,1.34091728747894,1,2.28326893003162
"GO:0008283","cell population proliferation",0.00525933199434446,1.69431806136074,5,2.27906941356362
"GO:0006355","regulation of DNA-templated transcription",0.00526346347853845,1.76292687826935,7,2.27872838614665
"GO:0051607","defense response to virus",0.00562151687150736,1.76088770313629,7,2.2501464815771
"GO:0001774","microglial cell activation",0.00562711164962366,1.69258881247182,5,2.24971446776152
"GO:0001889","liver development",0.00562711164962366,1.69258881247182,5,2.24971446776152
"GO:0034142","toll-like receptor 4 signaling pathway",0.00562711164962366,1.6923582459533,5,2.24971446776152
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.00562711164962366,1.69258881247182,5,2.24971446776152
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",0.00577422361165017,1.69143597987921,5,2.23850640171173
"GO:0031663","lipopolysaccharide-mediated signaling pathway",0.00577422361165017,1.69143597987921,5,2.23850640171173
"GO:0035456","response to interferon-beta",0.0058010234918893,1.42991670826807,2,2.23649537580507
"GO:0046597","host-mediated suppression of symbiont invasion",0.0058010234918893,1.42991670826807,2,2.23649537580507
"GO:0051601","exocyst localization",0.00589746238511364,1.34065733582386,1,2.2293348204279
"GO:0032481","positive regulation of type I interferon production",0.0063412121504813,1.53821564978905,3,2.19782771688998
"GO:0045471","response to ethanol",0.0063412121504813,1.53821564978905,3,2.19782771688998
"GO:0043525","positive regulation of neuron apoptotic process",0.00681384321412952,1.536691154596,3,2.16660786372702
"GO:0001937","negative regulation of endothelial cell proliferation",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0002230","positive regulation of defense response to virus by host",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0007584","response to nutrient",0.00693057750225611,1.340050781962,1,2.15923057554788
"GO:0034340","response to type I interferon",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0038111","interleukin-7-mediated signaling pathway",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0038113","interleukin-9-mediated signaling pathway",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0045648","positive regulation of erythrocyte differentiation",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0051093","negative regulation of developmental process",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0060333","type II interferon-mediated signaling pathway",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:0071276","cellular response to cadmium ion",0.00693057750225611,1.340050781962,1,2.15923057554788
"GO:0071361","cellular response to ethanol",0.00693057750225611,1.340050781962,1,2.15923057554788
"GO:0071456","cellular response to hypoxia",0.00693057750225611,1.340050781962,1,2.15923057554788
"GO:0072162","metanephric mesenchymal cell differentiation",0.00693057750225611,1.3399641314103,1,2.15923057554788
"GO:1904044","response to aldosterone",0.00693057750225611,1.340050781962,1,2.15923057554788
"GO:0030316","osteoclast differentiation",0.0069519715230708,1.59843397065045,4,2.15789201552926
"GO:0010757","negative regulation of plasminogen activation",0.00697138698721853,1.53536992542869,3,2.15668080856334
"GO:0001666","response to hypoxia",0.00712893079820351,1.53486176036434,3,2.14697560104016
"GO:0071333","cellular response to glucose stimulus",0.00712893079820351,1.53486176036434,3,2.14697560104016
"GO:0072593","reactive oxygen species metabolic process",0.00712893079820351,1.53486176036434,3,2.14697560104016
"GO:0007041","lysosomal transport",0.00718026749619886,1.42805410997672,2,2.14385937609766
"GO:0016358","dendrite development",0.00744713587293594,1.33970417975522,1,2.12801072238491
"GO:0021549","cerebellum development",0.00744713587293594,1.33970417975522,1,2.12801072238491
"GO:0048169","regulation of long-term neuronal synaptic plasticity",0.00744713587293594,1.33970417975522,1,2.12801072238491
"GO:1902950","regulation of dendritic spine maintenance",0.00744713587293594,1.33970417975522,1,2.12801072238491
"GO:0030163","protein catabolic process",0.00790091421936527,1.6819827526198,5,2.10232265333566
"GO:0030182","neuron differentiation",0.0079954223359111,1.53303236613267,3,2.0971585909157
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT",0.0079954223359111,1.53262583408119,3,2.0971585909157
"GO:0070372","regulation of ERK1 and ERK2 cascade",0.0079954223359111,1.53303236613267,3,2.0971585909157
"GO:0006887","exocytosis",0.0081538533489012,1.42693655100191,2,2.08863710381539
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway",0.00833581504642526,1.6784089715827,5,2.07905192998601
"GO:0008360","regulation of cell shape",0.00833581504642526,1.6784089715827,5,2.07905192998601
"GO:0036037","CD8-positive, alpha-beta T cell activation",0.00890820837852825,1.33909762589335,1,2.05020963261392
"GO:0000278","mitotic cell cycle",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0030220","platelet formation",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0031664","regulation of lipopolysaccharide-mediated signaling pathway",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0033007","negative regulation of mast cell activation involved in immune response",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0033630","positive regulation of cell adhesion mediated by integrin",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0035855","megakaryocyte development",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0043407","negative regulation of MAP kinase activity",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0045577","regulation of B cell differentiation",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0050859","negative regulation of B cell receptor signaling pathway",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0051279","regulation of release of sequestered calcium ion into cytosol",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0070527","platelet aggregation",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0106015","negative regulation of inflammatory response to wounding",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0160162","CD27 signaling pathway",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:1900017","positive regulation of cytokine production involved in inflammatory response",0.00907788345653581,1.33883767423827,1,2.04201539710631
"GO:0034612","response to tumor necrosis factor",0.00908214667090246,1.52947521068222,3,2.04181148879827
"GO:0010832","negative regulation of myotube differentiation",0.00919437277592598,1.4255396022834,2,2.03647789222747
"GO:0030501","positive regulation of bone mineralization",0.00919437277592598,1.4255396022834,2,2.03647789222747
"GO:0001819","positive regulation of cytokine production",0.00920561833925026,1.67587273987896,5,2.03594703472051
"GO:0007204","positive regulation of cytosolic calcium ion concentration",0.00920561833925026,1.67587273987896,5,2.03594703472051
"GO:0045669","positive regulation of osteoblast differentiation",0.00920561833925026,1.67587273987896,5,2.03594703472051
"GO:0045785","positive regulation of cell adhesion",0.00920561833925026,1.67587273987896,5,2.03594703472051
"GO:0045576","mast cell activation",0.00939263997666571,1.52856051356639,3,2.02721232401113
"GO:0060326","cell chemotaxis",0.00993045574458655,1.67276009187891,5,2.00303081970027
"GO:0002237","response to molecule of bacterial origin",0.0100136272680979,1.52744255042482,3,1.99940857814791
"GO:0032956","regulation of actin cytoskeleton organization",0.0103735011927387,1.74049595180569,7,1.98407463878405
"GO:0043410","positive regulation of MAPK cascade",0.0103735011927387,1.74049595180569,7,1.98407463878405
"GO:0002221","pattern recognition receptor signaling pathway",0.0106334581780561,1.42386326382119,2,1.97332547269171
"GO:0032727","positive regulation of interferon-alpha production",0.0106334581780561,1.42386326382119,2,1.97332547269171
"GO:0002224","toll-like receptor signaling pathway",0.0106346153337481,1.52469845907732,3,1.97327821440741
"GO:0002544","chronic inflammatory response",0.0106346153337481,1.52469845907732,3,1.97327821440741
"GO:0009410","response to xenobiotic stimulus",0.0106346153337481,1.52469845907732,3,1.97327821440741
"GO:0042267","natural killer cell mediated cytotoxicity",0.0106346153337481,1.52469845907732,3,1.97327821440741
"GO:0001932","regulation of protein phosphorylation",0.010789862455469,1.52388539497436,3,1.96698409148127
"GO:0006629","lipid metabolic process",0.010789862455469,1.52388539497436,3,1.96698409148127
"GO:0007399","nervous system development",0.010789862455469,1.52429192702584,3,1.96698409148127
"GO:0033690","positive regulation of osteoblast proliferation",0.010789862455469,1.52429192702584,3,1.96698409148127
"GO:0045600","positive regulation of fat cell differentiation",0.0109451096157287,1.5220560007427,3,1.96077988459694
"GO:0031394","positive regulation of prostaglandin biosynthetic process",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:0045687","positive regulation of glial cell differentiation",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:0046330","positive regulation of JNK cascade",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:0048711","positive regulation of astrocyte differentiation",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:0050768","negative regulation of neurogenesis",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:0071466","cellular response to xenobiotic stimulus",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:2000178","negative regulation of neural precursor cell proliferation",0.0111131542144344,1.42265257493181,2,1.95416265901559
"GO:0002523","leukocyte migration involved in inflammatory response",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0002548","monocyte chemotaxis",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0006874","intracellular calcium ion homeostasis",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0008347","glial cell migration",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0009612","response to mechanical stimulus",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0010332","response to gamma radiation",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0010574","regulation of vascular endothelial growth factor production",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0014823","response to activity",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0019233","sensory perception of pain",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0022409","positive regulation of cell-cell adhesion",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0032570","response to progesterone",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0032967","positive regulation of collagen biosynthetic process",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0036120","cellular response to platelet-derived growth factor stimulus",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0043200","response to amino acid",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0043615","astrocyte cell migration",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0048245","eosinophil chemotaxis",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0048246","macrophage chemotaxis",0.0117926945529863,1.33753791596284,1,1.92838695013917
"GO:0048247","lymphocyte chemotaxis",0.0117926945529863,1.33753791596284,1,1.92838695013917
